Genome,Length (bp),N50,Completeness %,Contamination%,Species representative,MGnify accession
GUT_GENOME043942,2163347,109425,92.95,0.0,GUT_GENOME043942,MGYG-HGUT-00884
GUT_GENOME043953,2151266,40181,99.19,0.81,GUT_GENOME043953,MGYG-HGUT-00885
GUT_GENOME044018,2937871,168094,97.68,0.57,GUT_GENOME044018,MGYG-HGUT-00886
GUT_GENOME044051,1303871,53326,92.0,0.0,GUT_GENOME044051,MGYG-HGUT-00887
GUT_GENOME044136,1735632,43080,87.9,2.85,GUT_GENOME044136,MGYG-HGUT-00888
GUT_GENOME044138,2172459,37987,96.23,0.19,GUT_GENOME044138,MGYG-HGUT-00889
GUT_GENOME044142,1864024,9307,79.82,3.51,GUT_GENOME044142,MGYG-HGUT-00890
GUT_GENOME044174,1418286,26757,67.73,0.0,GUT_GENOME044174,MGYG-HGUT-00891
GUT_GENOME044179,2629881,8759,83.34,2.68,GUT_GENOME044179,MGYG-HGUT-00892
GUT_GENOME044204,2377162,40209,83.33,1.08,GUT_GENOME044204,MGYG-HGUT-00893
GUT_GENOME044229,1390532,6897,79.07,0.0,GUT_GENOME044229,MGYG-HGUT-00894
GUT_GENOME044231,1465513,143878,71.03,0.67,GUT_GENOME044231,MGYG-HGUT-00895
GUT_GENOME044240,2091469,82687,100.0,0.81,GUT_GENOME044240,MGYG-HGUT-00896
GUT_GENOME044241,1739504,117927,97.98,0.0,GUT_GENOME044241,MGYG-HGUT-00897
GUT_GENOME044257,2143386,15456,95.3,0.27,GUT_GENOME044257,MGYG-HGUT-00898
GUT_GENOME044271,1597492,53310,84.78,0.81,GUT_GENOME044271,MGYG-HGUT-00899
GUT_GENOME044283,2178918,26880,97.43,1.85,GUT_GENOME044283,MGYG-HGUT-00900
GUT_GENOME044331,2058329,56161,99.38,0.0,GUT_GENOME044331,MGYG-HGUT-00901
GUT_GENOME044483,4770522,54134,98.39,0.81,GUT_GENOME044483,MGYG-HGUT-00902
GUT_GENOME044529,1712909,42637,71.52,0.67,GUT_GENOME044529,MGYG-HGUT-00903
GUT_GENOME044676,1807375,8118,82.48,2.42,GUT_GENOME044676,MGYG-HGUT-00904
GUT_GENOME044732,802447,92587,61.29,0.0,GUT_GENOME044732,MGYG-HGUT-00905
GUT_GENOME044788,2359165,196070,75.39,0.19,GUT_GENOME044788,MGYG-HGUT-00906
GUT_GENOME045096,1602935,41170,79.74,0.81,GUT_GENOME045096,MGYG-HGUT-00907
GUT_GENOME045178,1980396,8301,82.83,0.47,GUT_GENOME045178,MGYG-HGUT-00908
GUT_GENOME045186,3035568,102386,99.37,0.0,GUT_GENOME045186,MGYG-HGUT-00909
GUT_GENOME045223,1136343,23445,62.77,0.22,GUT_GENOME045223,MGYG-HGUT-00910
GUT_GENOME045302,2030892,11666,84.07,3.02,GUT_GENOME045302,MGYG-HGUT-00911
GUT_GENOME045330,2144350,86645,100.0,0.81,GUT_GENOME045330,MGYG-HGUT-00912
GUT_GENOME045630,2138636,32473,69.53,2.55,GUT_GENOME045630,MGYG-HGUT-00913
GUT_GENOME045693,1959286,40399,98.72,1.12,GUT_GENOME045693,MGYG-HGUT-00914
GUT_GENOME045758,3503945,229775,99.17,1.37,GUT_GENOME045758,MGYG-HGUT-00915
GUT_GENOME045767,1647230,56033,88.31,0.0,GUT_GENOME045767,MGYG-HGUT-00916
GUT_GENOME045846,1546935,81721,83.21,1.5,GUT_GENOME045846,MGYG-HGUT-00917
GUT_GENOME045895,2489541,164126,96.88,1.25,GUT_GENOME045895,MGYG-HGUT-00918
GUT_GENOME046050,4175004,199463,97.99,4.25,GUT_GENOME046050,MGYG-HGUT-00919
GUT_GENOME046057,2473301,73142,94.56,2.04,GUT_GENOME046057,MGYG-HGUT-00920
GUT_GENOME046059,2037614,45681,94.83,1.34,GUT_GENOME046059,MGYG-HGUT-00921
GUT_GENOME046070,2901170,69508,94.76,0.0,GUT_GENOME046070,MGYG-HGUT-00922
GUT_GENOME046227,2732014,212253,72.41,0.0,GUT_GENOME046227,MGYG-HGUT-00923
GUT_GENOME046367,2081481,52825,88.59,0.22,GUT_GENOME046367,MGYG-HGUT-00924
GUT_GENOME046831,947873,143245,61.29,0.0,GUT_GENOME046831,MGYG-HGUT-00925
GUT_GENOME047123,1658618,10925,83.95,0.6,GUT_GENOME047123,MGYG-HGUT-00926
GUT_GENOME047195,1752526,73092,97.01,1.2,GUT_GENOME047195,MGYG-HGUT-00927
GUT_GENOME047344,1843164,9637,85.72,2.42,GUT_GENOME047344,MGYG-HGUT-00928
GUT_GENOME047426,1183274,52814,80.82,0.35,GUT_GENOME047426,MGYG-HGUT-00929
GUT_GENOME047484,1894829,84536,96.23,2.59,GUT_GENOME047484,MGYG-HGUT-00930
GUT_GENOME047636,1690546,24965,98.67,0.0,GUT_GENOME047636,MGYG-HGUT-00931
GUT_GENOME047877,1983140,24788,96.2,0.67,GUT_GENOME047877,MGYG-HGUT-00932
GUT_GENOME047905,1540789,218858,93.95,0.0,GUT_GENOME047905,MGYG-HGUT-00933
GUT_GENOME047932,1650668,4904,73.49,4.11,GUT_GENOME047932,MGYG-HGUT-00934
GUT_GENOME047960,1747376,6432,79.22,1.34,GUT_GENOME047960,MGYG-HGUT-00935
GUT_GENOME048115,2104086,15856,98.19,3.09,GUT_GENOME048115,MGYG-HGUT-00936
GUT_GENOME048143,2265948,99498,95.75,0.13,GUT_GENOME048143,MGYG-HGUT-00937
GUT_GENOME048181,2716766,24665,94.07,1.14,GUT_GENOME048181,MGYG-HGUT-00938
GUT_GENOME048628,1952721,87086,96.61,0.03,GUT_GENOME048628,MGYG-HGUT-00939
GUT_GENOME048959,1957495,10588,94.42,2.22,GUT_GENOME048959,MGYG-HGUT-00940
GUT_GENOME049084,2489616,77291,98.49,0.0,GUT_GENOME049084,MGYG-HGUT-00941
GUT_GENOME049209,1713288,124713,91.53,0.0,GUT_GENOME049209,MGYG-HGUT-00942
GUT_GENOME049240,1209559,96345,63.76,0.0,GUT_GENOME049240,MGYG-HGUT-00943
GUT_GENOME049425,1785315,94101,99.65,0.0,GUT_GENOME049425,MGYG-HGUT-00944
GUT_GENOME049452,1468207,135501,77.67,0.67,GUT_GENOME049452,MGYG-HGUT-00945
GUT_GENOME049620,1127007,81569,72.58,0.0,GUT_GENOME049620,MGYG-HGUT-00946
GUT_GENOME049730,1628537,8026,78.4,2.02,GUT_GENOME049730,MGYG-HGUT-00947
GUT_GENOME049930,1605952,130430,76.67,1.7,GUT_GENOME049930,MGYG-HGUT-00948
GUT_GENOME049949,1666180,8827,81.05,0.81,GUT_GENOME049949,MGYG-HGUT-00949
GUT_GENOME050033,1578561,51128,74.32,0.67,GUT_GENOME050033,MGYG-HGUT-00950
GUT_GENOME050070,3022567,58544,93.13,0.7,GUT_GENOME050070,MGYG-HGUT-00951
GUT_GENOME051358,1290735,117203,96.63,0.0,GUT_GENOME051358,MGYG-HGUT-00952
GUT_GENOME052375,1995240,15031,93.26,2.25,GUT_GENOME052375,MGYG-HGUT-00953
GUT_GENOME052918,1823681,26644,60.99,1.75,GUT_GENOME052918,MGYG-HGUT-00954
GUT_GENOME053393,1478705,6076,64.14,2.58,GUT_GENOME053393,MGYG-HGUT-00955
GUT_GENOME054382,2507716,1286896,99.25,0.0,GUT_GENOME054382,MGYG-HGUT-00956
GUT_GENOME054531,3091319,14388,86.6,0.76,GUT_GENOME054531,MGYG-HGUT-00957
GUT_GENOME054973,1304133,124882,93.82,3.37,GUT_GENOME054973,MGYG-HGUT-00958
GUT_GENOME055438,2365658,31772,97.76,0.67,GUT_GENOME055438,MGYG-HGUT-00959
GUT_GENOME055936,778564,6655,62.79,0.11,GUT_GENOME055936,MGYG-HGUT-00960
GUT_GENOME056112,1000305,33069,56.14,0.0,GUT_GENOME056112,MGYG-HGUT-00961
GUT_GENOME056330,1002062,225374,89.01,0.0,GUT_GENOME056330,MGYG-HGUT-00962
GUT_GENOME056716,1599597,11921,73.92,0.66,GUT_GENOME056716,MGYG-HGUT-00963
GUT_GENOME056730,3100012,44961,96.65,0.0,GUT_GENOME056730,MGYG-HGUT-00964
GUT_GENOME056772,1808621,35361,98.36,0.81,GUT_GENOME056772,MGYG-HGUT-00965
GUT_GENOME057155,2907985,35730,89.02,3.8,GUT_GENOME057155,MGYG-HGUT-00966
GUT_GENOME057471,1698990,9430,93.02,0.0,GUT_GENOME057471,MGYG-HGUT-00967
GUT_GENOME057672,2145066,172430,100.0,0.0,GUT_GENOME057672,MGYG-HGUT-00968
GUT_GENOME057686,2650866,48395,95.55,1.44,GUT_GENOME057686,MGYG-HGUT-00969
GUT_GENOME057820,1325935,8006,68.8,1.9,GUT_GENOME057820,MGYG-HGUT-00970
GUT_GENOME057822,3501016,9378,83.08,2.03,GUT_GENOME057822,MGYG-HGUT-00971
GUT_GENOME057827,1119698,149285,73.91,0.0,GUT_GENOME057827,MGYG-HGUT-00972
GUT_GENOME057850,2116765,14115,89.19,3.04,GUT_GENOME057850,MGYG-HGUT-00973
GUT_GENOME057980,1617589,69540,96.63,0.0,GUT_GENOME057980,MGYG-HGUT-00974
GUT_GENOME058044,1556359,42980,96.63,1.12,GUT_GENOME058044,MGYG-HGUT-00975
GUT_GENOME058138,1832180,62515,76.61,4.7,GUT_GENOME058138,MGYG-HGUT-00976
GUT_GENOME058212,2927434,89947,100.0,0.4,GUT_GENOME058212,MGYG-HGUT-00977
GUT_GENOME058339,1233255,44144,64.68,0.15,GUT_GENOME058339,MGYG-HGUT-00978
GUT_GENOME058365,1969889,15346,95.88,0.0,GUT_GENOME058365,MGYG-HGUT-00979
GUT_GENOME058829,1953909,344261,99.19,0.12,GUT_GENOME058829,MGYG-HGUT-00980
GUT_GENOME059153,1960459,22959,94.35,0.0,GUT_GENOME059153,MGYG-HGUT-00981
GUT_GENOME059442,1595406,25779,78.68,1.23,GUT_GENOME059442,MGYG-HGUT-00982
GUT_GENOME059449,2739476,14080,79.51,2.15,GUT_GENOME059449,MGYG-HGUT-00983
GUT_GENOME060023,1868237,10436,90.92,1.61,GUT_GENOME060023,MGYG-HGUT-00984
GUT_GENOME060258,1906572,21150,97.04,0.0,GUT_GENOME060258,MGYG-HGUT-00985
GUT_GENOME060447,2112494,28083,99.34,0.81,GUT_GENOME060447,MGYG-HGUT-00986
GUT_GENOME060514,2681460,40277,92.53,4.48,GUT_GENOME060514,MGYG-HGUT-00987
GUT_GENOME060651,3481555,23671,96.64,3.36,GUT_GENOME060651,MGYG-HGUT-00988
GUT_GENOME061051,3436851,29326,96.42,3.02,GUT_GENOME061051,MGYG-HGUT-00989
GUT_GENOME061059,2534213,45327,99.36,0.16,GUT_GENOME061059,MGYG-HGUT-00990
GUT_GENOME061534,3278188,11811,94.97,0.67,GUT_GENOME061534,MGYG-HGUT-00991
GUT_GENOME061877,1558058,57045,91.95,1.01,GUT_GENOME061877,MGYG-HGUT-00992
GUT_GENOME062339,1983283,197859,99.66,0.0,GUT_GENOME062339,MGYG-HGUT-00993
GUT_GENOME062382,1548184,129147,95.48,0.0,GUT_GENOME062382,MGYG-HGUT-00994
GUT_GENOME062400,2084286,50824,100.0,0.81,GUT_GENOME062400,MGYG-HGUT-00995
GUT_GENOME062469,1986576,17407,97.02,2.02,GUT_GENOME062469,MGYG-HGUT-00996
GUT_GENOME063091,2319952,27096,87.15,0.46,GUT_GENOME063091,MGYG-HGUT-00997
GUT_GENOME063140,635891,29915,58.97,0.85,GUT_GENOME063140,MGYG-HGUT-00998
GUT_GENOME063431,2366800,13101,89.71,2.64,GUT_GENOME063431,MGYG-HGUT-00999
GUT_GENOME063562,2124642,6183,59.49,0.67,GUT_GENOME063562,MGYG-HGUT-01000
GUT_GENOME063926,3195691,83244,98.31,0.34,GUT_GENOME063926,MGYG-HGUT-01001
GUT_GENOME064269,2120274,62505,100.0,0.81,GUT_GENOME064269,MGYG-HGUT-01002
GUT_GENOME064466,2034771,25584,96.43,0.81,GUT_GENOME064466,MGYG-HGUT-01003
GUT_GENOME064659,2903340,34705,98.73,0.16,GUT_GENOME064659,MGYG-HGUT-01004
GUT_GENOME065321,2260829,42189,83.62,0.79,GUT_GENOME065321,MGYG-HGUT-01005
GUT_GENOME065370,1711330,4907,79.73,3.89,GUT_GENOME065370,MGYG-HGUT-01006
GUT_GENOME065434,3037076,31419,98.94,0.47,GUT_GENOME065434,MGYG-HGUT-01007
GUT_GENOME065504,3113530,54415,99.06,4.92,GUT_GENOME065504,MGYG-HGUT-01008
GUT_GENOME065576,1616783,6345,64.66,1.08,GUT_GENOME065576,MGYG-HGUT-01009
GUT_GENOME065630,2093768,113779,100.0,0.0,GUT_GENOME065630,MGYG-HGUT-01010
GUT_GENOME065650,999989,72564,77.44,0.0,GUT_GENOME065650,MGYG-HGUT-01011
GUT_GENOME065655,2045709,40647,99.92,0.31,GUT_GENOME065655,MGYG-HGUT-01012
GUT_GENOME065657,1653935,143275,96.74,0.0,GUT_GENOME065657,MGYG-HGUT-01013
GUT_GENOME065713,1848217,9669,89.42,3.48,GUT_GENOME065713,MGYG-HGUT-01014
GUT_GENOME065762,1427844,6625,58.04,0.0,GUT_GENOME065762,MGYG-HGUT-01015
GUT_GENOME065882,2558639,65575,96.15,0.7,GUT_GENOME065882,MGYG-HGUT-01016
GUT_GENOME066135,1758548,11666,92.93,0.0,GUT_GENOME066135,MGYG-HGUT-01017
GUT_GENOME066225,2841260,27071,91.4,0.84,GUT_GENOME066225,MGYG-HGUT-01018
GUT_GENOME066317,1980681,27967,97.58,2.42,GUT_GENOME066317,MGYG-HGUT-01019
GUT_GENOME066321,1406978,2457,64.82,2.34,GUT_GENOME066321,MGYG-HGUT-01020
GUT_GENOME066545,2360136,103205,97.32,0.0,GUT_GENOME066545,MGYG-HGUT-01021
GUT_GENOME066568,1892407,25839,95.3,1.08,GUT_GENOME066568,MGYG-HGUT-01022
GUT_GENOME066597,2414891,45816,81.3,0.64,GUT_GENOME066597,MGYG-HGUT-01023
GUT_GENOME066712,2614111,227865,95.3,0.0,GUT_GENOME066712,MGYG-HGUT-01024
GUT_GENOME066938,1331709,58343,84.59,0.0,GUT_GENOME066938,MGYG-HGUT-01025
GUT_GENOME067057,1862227,50556,99.19,2.42,GUT_GENOME067057,MGYG-HGUT-01026
GUT_GENOME067136,2760146,41694,94.3,0.16,GUT_GENOME067136,MGYG-HGUT-01027
GUT_GENOME067425,1729829,3261,73.23,3.27,GUT_GENOME067425,MGYG-HGUT-01028
GUT_GENOME067489,1961725,147848,97.99,0.0,GUT_GENOME067489,MGYG-HGUT-01029
GUT_GENOME067546,3359263,141636,94.4,0.94,GUT_GENOME067546,MGYG-HGUT-01030
GUT_GENOME067844,1736770,15864,74.1,3.19,GUT_GENOME067844,MGYG-HGUT-01031
GUT_GENOME067866,1474174,4067,67.25,1.34,GUT_GENOME067866,MGYG-HGUT-01032
GUT_GENOME068461,2187204,3471,82.49,2.97,GUT_GENOME068461,MGYG-HGUT-01033
GUT_GENOME068585,3004037,41746,97.22,0.0,GUT_GENOME068585,MGYG-HGUT-01034
GUT_GENOME068652,3564571,3449,67.51,2.03,GUT_GENOME068652,MGYG-HGUT-01035
GUT_GENOME068725,3018511,9845,85.16,1.19,GUT_GENOME068725,MGYG-HGUT-01036
GUT_GENOME069104,1935424,13956,90.79,0.24,GUT_GENOME069104,MGYG-HGUT-01037
GUT_GENOME069124,2516799,21619,53.62,0.31,GUT_GENOME069124,MGYG-HGUT-01038
GUT_GENOME069692,3066315,40496,82.26,0.75,GUT_GENOME069692,MGYG-HGUT-01039
GUT_GENOME069755,2860396,16721,98.15,0.46,GUT_GENOME069755,MGYG-HGUT-01040
GUT_GENOME069863,1034312,5158,85.96,1.12,GUT_GENOME069863,MGYG-HGUT-01041
GUT_GENOME070341,3438278,64940,98.38,0.0,GUT_GENOME070341,MGYG-HGUT-01042
GUT_GENOME070391,1039027,93624,85.58,2.25,GUT_GENOME070391,MGYG-HGUT-01043
GUT_GENOME070478,1440385,131734,96.82,0.0,GUT_GENOME070478,MGYG-HGUT-01044
GUT_GENOME070485,5511723,53105,98.05,0.0,GUT_GENOME070485,MGYG-HGUT-01045
GUT_GENOME070486,1859156,20306,90.88,1.01,GUT_GENOME070486,MGYG-HGUT-01046
GUT_GENOME070996,852144,5216,72.47,3.37,GUT_GENOME070996,MGYG-HGUT-01047
GUT_GENOME071017,1211990,3750,78.46,1.17,GUT_GENOME071017,MGYG-HGUT-01048
GUT_GENOME071027,2008199,3698,83.88,0.84,GUT_GENOME071027,MGYG-HGUT-01049
GUT_GENOME071719,1065888,38595,80.09,0.81,GUT_GENOME071719,MGYG-HGUT-01050
GUT_GENOME071810,2614621,16156,71.9,0.0,GUT_GENOME071810,MGYG-HGUT-01051
GUT_GENOME071857,3184799,22025,87.46,3.82,GUT_GENOME071857,MGYG-HGUT-01052
GUT_GENOME072376,1520294,68812,98.88,0.0,GUT_GENOME072376,MGYG-HGUT-01053
GUT_GENOME073355,2025835,24175,94.71,1.18,GUT_GENOME073355,MGYG-HGUT-01054
GUT_GENOME073482,2019920,29242,89.74,0.85,GUT_GENOME073482,MGYG-HGUT-01055
GUT_GENOME073885,3020119,27785,97.3,0.17,GUT_GENOME073885,MGYG-HGUT-01056
GUT_GENOME074354,2192208,96968,98.66,0.67,GUT_GENOME074354,MGYG-HGUT-01057
GUT_GENOME074418,2245359,9885,87.88,0.74,GUT_GENOME074418,MGYG-HGUT-01058
GUT_GENOME074555,2193999,38807,99.74,0.71,GUT_GENOME074555,MGYG-HGUT-01059
GUT_GENOME075103,2084459,27659,98.73,0.02,GUT_GENOME075103,MGYG-HGUT-01060
GUT_GENOME075185,1909854,10876,92.74,0.81,GUT_GENOME075185,MGYG-HGUT-01061
GUT_GENOME075349,1871556,15519,97.38,0.0,GUT_GENOME075349,MGYG-HGUT-01062
GUT_GENOME075528,7637037,85185,99.37,0.32,GUT_GENOME075528,MGYG-HGUT-01063
GUT_GENOME075582,1854245,15857,84.76,2.99,GUT_GENOME075582,MGYG-HGUT-01064
GUT_GENOME076000,3284441,89250,99.37,0.0,GUT_GENOME076000,MGYG-HGUT-01065
GUT_GENOME076199,1778132,147984,99.88,0.02,GUT_GENOME076199,MGYG-HGUT-01066
GUT_GENOME076311,1916899,7489,80.23,1.52,GUT_GENOME076311,MGYG-HGUT-01067
GUT_GENOME076493,2029735,34655,99.5,0.19,GUT_GENOME076493,MGYG-HGUT-01068
GUT_GENOME076944,2409721,9605,73.93,0.02,GUT_GENOME076944,MGYG-HGUT-01069
GUT_GENOME077070,1755005,37665,94.21,0.2,GUT_GENOME077070,MGYG-HGUT-01070
GUT_GENOME077606,1444895,2779,78.68,1.14,GUT_GENOME077606,MGYG-HGUT-01071
GUT_GENOME077706,2601066,50930,95.32,0.0,GUT_GENOME077706,MGYG-HGUT-01072
GUT_GENOME078005,2595353,21620,100.0,4.09,GUT_GENOME078005,MGYG-HGUT-01073
GUT_GENOME078034,2078798,2335,65.73,1.47,GUT_GENOME078034,MGYG-HGUT-01074
GUT_GENOME078054,1052362,2801,62.18,0.82,GUT_GENOME078054,MGYG-HGUT-01075
GUT_GENOME078217,3627630,42356,96.64,0.69,GUT_GENOME078217,MGYG-HGUT-01076
GUT_GENOME078306,2006111,34570,99.45,0.0,GUT_GENOME078306,MGYG-HGUT-01077
GUT_GENOME078449,1984981,11383,87.33,0.0,GUT_GENOME078449,MGYG-HGUT-01078
GUT_GENOME078496,1324289,1872,63.52,2.33,GUT_GENOME078496,MGYG-HGUT-01079
GUT_GENOME078716,1416081,2205,62.72,0.71,GUT_GENOME078716,MGYG-HGUT-01080
GUT_GENOME078848,3715652,66805,92.62,2.01,GUT_GENOME078848,MGYG-HGUT-01081
GUT_GENOME078981,2310000,15040,98.04,0.67,GUT_GENOME078981,MGYG-HGUT-01082
GUT_GENOME078983,2200570,10513,78.55,0.96,GUT_GENOME078983,MGYG-HGUT-01083
GUT_GENOME079004,2045378,5486,83.9,2.25,GUT_GENOME079004,MGYG-HGUT-01084
GUT_GENOME079077,2352626,106821,96.9,0.0,GUT_GENOME079077,MGYG-HGUT-01085
GUT_GENOME079106,1602673,7573,78.93,0.27,GUT_GENOME079106,MGYG-HGUT-01086
GUT_GENOME079230,3616712,17781,86.09,4.5,GUT_GENOME079230,MGYG-HGUT-01087
GUT_GENOME079379,1866538,141904,99.89,0.0,GUT_GENOME079379,MGYG-HGUT-01088
GUT_GENOME079745,3268107,21678,99.19,1.06,GUT_GENOME079745,MGYG-HGUT-01089
GUT_GENOME080015,1594466,83293,99.19,0.12,GUT_GENOME080015,MGYG-HGUT-01090
GUT_GENOME080199,4193018,5438,65.76,0.0,GUT_GENOME080199,MGYG-HGUT-01091
GUT_GENOME080309,2220171,66411,100.0,0.81,GUT_GENOME080309,MGYG-HGUT-01092
GUT_GENOME080351,3659018,28770,98.77,0.18,GUT_GENOME080351,MGYG-HGUT-01093
GUT_GENOME080362,3284523,27096,96.1,1.48,GUT_GENOME080362,MGYG-HGUT-01094
GUT_GENOME080363,4128611,9930,96.46,0.74,GUT_GENOME080363,MGYG-HGUT-01095
GUT_GENOME080486,2058974,53343,99.19,0.81,GUT_GENOME080486,MGYG-HGUT-01096
GUT_GENOME080845,3372203,32905,98.52,0.12,GUT_GENOME080845,MGYG-HGUT-01097
GUT_GENOME080972,2141975,133640,97.99,0.0,GUT_GENOME080972,MGYG-HGUT-01098
GUT_GENOME081169,1938481,24045,85.94,0.81,GUT_GENOME081169,MGYG-HGUT-01099
GUT_GENOME081254,1591687,11771,97.24,1.35,GUT_GENOME081254,MGYG-HGUT-01100
GUT_GENOME081289,2035203,45545,86.91,0.84,GUT_GENOME081289,MGYG-HGUT-01101
GUT_GENOME081295,2481411,22769,80.44,2.59,GUT_GENOME081295,MGYG-HGUT-01102
GUT_GENOME081297,2571825,8023,79.1,0.0,GUT_GENOME081297,MGYG-HGUT-01103
GUT_GENOME081328,2833793,27330,97.59,2.85,GUT_GENOME081328,MGYG-HGUT-01104
GUT_GENOME081368,2026346,107616,97.58,0.81,GUT_GENOME081368,MGYG-HGUT-01105
GUT_GENOME081475,1936587,2818,58.34,1.59,GUT_GENOME081475,MGYG-HGUT-01106
GUT_GENOME081696,1971180,17653,87.67,2.42,GUT_GENOME081696,MGYG-HGUT-01107
GUT_GENOME082101,1919497,81535,85.48,0.81,GUT_GENOME082101,MGYG-HGUT-01108
GUT_GENOME082285,2762977,57001,97.76,1.34,GUT_GENOME082285,MGYG-HGUT-01109
GUT_GENOME082367,1465150,25867,76.78,0.67,GUT_GENOME082367,MGYG-HGUT-01110
GUT_GENOME082534,1574808,59583,62.86,0.48,GUT_GENOME082534,MGYG-HGUT-01111
GUT_GENOME082800,2020645,205529,99.58,0.0,GUT_GENOME082800,MGYG-HGUT-01112
GUT_GENOME082811,2010666,39163,94.88,0.75,GUT_GENOME082811,MGYG-HGUT-01113
GUT_GENOME082924,2008094,51818,87.9,0.81,GUT_GENOME082924,MGYG-HGUT-01114
GUT_GENOME082932,2249105,18954,98.66,0.46,GUT_GENOME082932,MGYG-HGUT-01115
GUT_GENOME082983,2106167,76788,95.3,0.0,GUT_GENOME082983,MGYG-HGUT-01116
GUT_GENOME083197,1799317,74910,98.2,1.5,GUT_GENOME083197,MGYG-HGUT-01117
GUT_GENOME083297,1723532,13495,80.01,0.67,GUT_GENOME083297,MGYG-HGUT-01118
GUT_GENOME083450,2164229,45613,77.1,0.0,GUT_GENOME083450,MGYG-HGUT-01119
GUT_GENOME083453,2280051,118374,99.33,0.67,GUT_GENOME083453,MGYG-HGUT-01120
GUT_GENOME083463,2042092,41837,90.93,0.81,GUT_GENOME083463,MGYG-HGUT-01121
GUT_GENOME083570,2149360,48468,95.97,0.81,GUT_GENOME083570,MGYG-HGUT-01122
GUT_GENOME083985,1615884,6087,69.29,0.81,GUT_GENOME083985,MGYG-HGUT-01123
GUT_GENOME084084,2122715,7389,85.62,3.3,GUT_GENOME084084,MGYG-HGUT-01124
GUT_GENOME084141,1115602,5747,64.02,2.68,GUT_GENOME084141,MGYG-HGUT-01125
GUT_GENOME084181,2024069,31912,92.74,1.61,GUT_GENOME084181,MGYG-HGUT-01126
GUT_GENOME084234,1940597,11493,89.52,1.84,GUT_GENOME084234,MGYG-HGUT-01127
GUT_GENOME084337,1828677,8985,90.63,1.4,GUT_GENOME084337,MGYG-HGUT-01128
GUT_GENOME084358,1878365,13327,91.22,0.0,GUT_GENOME084358,MGYG-HGUT-01129
GUT_GENOME084378,2064336,55465,95.16,0.81,GUT_GENOME084378,MGYG-HGUT-01130
GUT_GENOME084477,3153631,97592,98.87,0.68,GUT_GENOME084477,MGYG-HGUT-01131
GUT_GENOME084610,2773330,184210,98.39,0.0,GUT_GENOME084610,MGYG-HGUT-01132
GUT_GENOME084626,1218789,2161,60.37,0.0,GUT_GENOME084626,MGYG-HGUT-01133
GUT_GENOME084630,2166498,134498,91.13,0.81,GUT_GENOME084630,MGYG-HGUT-01134
GUT_GENOME084693,2009504,19464,90.32,1.08,GUT_GENOME084693,MGYG-HGUT-01135
GUT_GENOME084706,2106281,171373,96.31,0.67,GUT_GENOME084706,MGYG-HGUT-01136
GUT_GENOME084946,1967661,77410,89.52,0.81,GUT_GENOME084946,MGYG-HGUT-01137
GUT_GENOME085056,2080195,40003,92.74,0.81,GUT_GENOME085056,MGYG-HGUT-01138
GUT_GENOME085076,2015191,50486,94.35,1.61,GUT_GENOME085076,MGYG-HGUT-01139
GUT_GENOME085247,1954271,15403,85.48,0.92,GUT_GENOME085247,MGYG-HGUT-01140
GUT_GENOME085305,2792636,55667,96.42,0.67,GUT_GENOME085305,MGYG-HGUT-01141
GUT_GENOME085403,1873531,3309,81.47,1.69,GUT_GENOME085403,MGYG-HGUT-01142
GUT_GENOME085404,1633400,2147,64.53,0.85,GUT_GENOME085404,MGYG-HGUT-01143
GUT_GENOME085442,2487034,29475,86.5,1.96,GUT_GENOME085442,MGYG-HGUT-01144
GUT_GENOME085494,729391,383417,65.81,0.85,GUT_GENOME085494,MGYG-HGUT-01145
GUT_GENOME085736,1763227,69804,96.64,0.0,GUT_GENOME085736,MGYG-HGUT-01146
GUT_GENOME086272,2059161,70063,83.85,0.62,GUT_GENOME086272,MGYG-HGUT-01147
GUT_GENOME086481,3218254,13735,98.88,2.25,GUT_GENOME086481,MGYG-HGUT-01148
GUT_GENOME086504,1411115,66995,97.75,0.0,GUT_GENOME086504,MGYG-HGUT-01149
GUT_GENOME086641,1896149,25432,88.71,0.81,GUT_GENOME086641,MGYG-HGUT-01150
GUT_GENOME086787,2508735,16130,98.43,0.0,GUT_GENOME086787,MGYG-HGUT-01151
GUT_GENOME086831,2046686,37178,98.39,0.81,GUT_GENOME086831,MGYG-HGUT-01152
GUT_GENOME087109,1513202,64492,98.39,0.0,GUT_GENOME087109,MGYG-HGUT-01153
GUT_GENOME087180,1843166,211788,99.19,0.81,GUT_GENOME087180,MGYG-HGUT-01154
GUT_GENOME087393,1976528,8577,85.5,1.57,GUT_GENOME087393,MGYG-HGUT-01155
GUT_GENOME087397,2933732,33532,94.35,1.08,GUT_GENOME087397,MGYG-HGUT-01156
GUT_GENOME087442,2792015,36573,98.64,0.0,GUT_GENOME087442,MGYG-HGUT-01157
GUT_GENOME087542,2212762,77992,99.19,0.81,GUT_GENOME087542,MGYG-HGUT-01158
GUT_GENOME087598,2232439,132235,97.58,0.96,GUT_GENOME087598,MGYG-HGUT-01159
GUT_GENOME087773,2196853,176133,99.33,0.67,GUT_GENOME087773,MGYG-HGUT-01160
GUT_GENOME088178,2008323,41829,96.77,0.81,GUT_GENOME088178,MGYG-HGUT-01161
GUT_GENOME088395,1612933,88536,92.41,0.0,GUT_GENOME088395,MGYG-HGUT-01162
